,SSGADD.SPDRBBGBARCLAYSHIGHYIELDBONDETF.OPTADJDURATION.B,SSGADD.SPDRPORTFOLIOINTERMEDIATETERMCORPORATEBONDETF.OPTADJDURATION.B,,,,,
,SPDR BBG Barclays High Yield Bond ETF,SPDR Portfolio Intermediate Term Corporate Bond ETF,,,,,
2024-03-08,3.22,4.06,,,,,
2024-03-11,3.21,4.05,,,,,
2024-03-12,3.22,4.06,,,,,
2024-03-13,3.22,4.05,,,,,
2024-03-14,3.25,4.04,,,,,
2024-03-15,3.26,4.04,,,,,
2024-03-18,3.29,4.08,,,,,
2024-03-19,3.24,4.05,,,,,
2024-03-20,3.22,4.04,,,,,
2024-03-21,3.16,4.03,,,,,
2024-03-22,3.21,4.02,,,,,
2024-03-25,3.23,4.02,,,,,
2024-03-26,3.24,4.04,,,,,
2024-03-27,3.24,4.05,,,,,
2024-03-28,3.26,4.06,,,,,
2024-03-29,3.26,4.06,,,,,
2024-04-01,3.27,4.04,,,,,
2024-04-02,3.34,4.04,,,,,
2024-04-03,3.28,4.04,,,,,
2024-04-04,3.26,4.04,,,,,
2024-04-05,3.27,4.04,,,,,
2024-04-08,3.27,4.04,,,,,
2024-04-09,3.26,4.04,,,,,
2024-04-10,3.29,4.03,,,,,
2024-04-11,3.31,4.03,,,,,
2024-04-12,3.31,4.03,,,,,
2024-04-15,3.34,4.02,,,,,
2024-04-16,3.37,4.02,,,,,
2024-04-17,3.37,4.03,,,,,
2024-04-18,3.38,4.02,,,,,
2024-04-19,3.40,4.02,,,,,
2024-04-22,3.34,4.01,,,,,
2024-04-23,3.30,4.01,,,,,
2024-04-24,3.31,4.01,,,,,
2024-04-25,3.33,4.00,,,,,
2024-04-26,3.31,3.98,,,,,
2024-04-29,3.29,4.03,,,,,
2024-04-30,3.34,4.09,,,,,
2024-05-01,3.33,4.10,,,,,
2024-05-02,3.29,4.07,,,,,
2024-05-03,3.16,4.06,,,,,
2024-05-06,3.29,4.07,,,,,
2024-05-07,3.22,4.08,,,,,
2024-05-08,3.26,4.08,,,,,
2024-05-09,3.26,4.07,,,,,
2024-05-10,3.27,4.06,,,,,
2024-05-13,3.27,4.11,,,,,
2024-05-14,3.26,4.09,,,,,
2024-05-15,3.24,4.07,,,,,
2024-05-16,3.22,4.07,,,,,
2024-05-17,3.25,4.06,,,,,
2024-05-20,3.25,4.06,,,,,
2024-05-21,3.22,4.07,,,,,
2024-05-22,3.24,4.06,,,,,
2024-05-23,3.32,4.07,,,,,
2024-05-24,3.31,4.06,,,,,
2024-05-27,3.31,4.06,,,,,
2024-05-28,3.30,4.05,,,,,
2024-05-29,3.33,4.04,,,,,
2024-05-30,3.25,4.03,,,,,
2024-05-31,3.31,4.06,,,,,
2024-06-03,3.26,4.05,,,,,
2024-06-04,3.26,4.10,,,,,
2024-06-05,3.19,4.04,,,,,
2024-06-06,3.21,4.09,,,,,
2024-06-07,3.26,4.07,,,,,
2024-06-10,3.26,4.04,,,,,
2024-06-11,3.25,4.03,,,,,
2024-06-12,3.07,4.03,,,,,
2024-06-13,3.26,4.07,,,,,
2024-06-14,3.22,4.03,,,,,
2024-06-17,3.22,4.02,,,,,
2024-06-18,3.21,4.04,,,,,
2024-06-19,3.21,4.04,,,,,
2024-06-20,3.22,4.03,,,,,
2024-06-21,3.21,4.03,,,,,
2024-06-24,3.20,4.02,,,,,
2024-06-25,3.20,4.02,,,,,
2024-06-26,3.23,4.02,,,,,
2024-06-27,3.27,4.02,,,,,
2024-06-28,3.27,4.08,,,,,
2024-07-01,3.29,4.12,,,,,
2024-07-02,3.22,4.02,,,,,
2024-07-03,3.21,4.04,,,,,
2024-07-04,3.21,4.04,,,,,
2024-07-05,3.17,4.04,,,,,
2024-07-08,3.16,4.03,,,,,
2024-07-09,3.17,4.02,,,,,
2024-07-10,3.16,4.01,,,,,
2024-07-11,3.12,4.01,,,,,
2024-07-12,3.11,4.01,,,,,
2024-07-15,3.12,4.01,,,,,
2024-07-16,3.09,4.01,,,,,
2024-07-17,3.10,4.01,,,,,
2024-07-18,3.12,4.01,,,,,
2024-07-19,3.13,4.01,,,,,
2024-07-22,3.12,4.01,,,,,
2024-07-23,3.13,4.00,,,,,
2024-07-24,3.13,4.08,,,,,
2024-07-25,3.14,4.03,,,,,
2024-07-26,3.12,4.01,,,,,
2024-07-29,3.12,4.02,,,,,
2024-07-30,3.12,4.00,,,,,
2024-07-31,3.15,4.06,,,,,
2024-08-01,3.16,4.06,,,,,
2024-08-02,3.17,4.08,,,,,
